0;6,084
1;9,540
2;9,080
3;9,350
4;27,850
5;6,620
6;9,860
7;23,630
8;9,340
9;6,110
10;10,220
11;14,060
12;15,430
13;18,310
14;28,430
15;12,490
16;20,160
17;7,750
18;2,850
19;4,900
20;3,750
21;4,480
22;20,250
23;9,290
24;4,740
25;8,310
26;16,720
27;22,510
28;10,700
29;7,170
30;15,300
31;28,990
32;25,170
33;16,010
34;4,820
35;6,200
36;20,470
37;7,970
38;4,110
39;21,860
40;9,000
41;4,903
42;17,130
43;31,480
44;8,710
45;36,060
46;16,440
47;11,450
48;3,007
49;14,280
50;14,370
51;28,840
52;22,670
53;17,060
54;8,050
55;12,430
56;8,960
57;15,370
58;8,700
59;27,770
60;15,200
61;5,060
62;12,720
63;5,210
64;6,400
65;4,480
66;10,720
67;33,160
68;1,770
69;14,130
70;15,200
71;18,870
72;9,100
73;8,240
74;14,040
75;3,000
76;3,430
77;8,820
78;18,520
79;2,518
80;23,230
81;2,657
82;20,690
83;19,850
84;5,870
85;8,260
86;1,790
87;8,910
88;14,650
89;9,450
90;6,300
91;14,110
92;8,470
93;4,670
94;2,410
95;7,230
96;4,520
97;4,264
98;12,220
99;3,410
